Chutes a gol 1,Chutes a gol 2,Impedimentos 1,Impedimentos 2,Escanteios 1,Escanteios 2,Chutes fora 1,Chutes fora 2,Faltas 1,Faltas 2,Cartões amarelos 1,Cartões amarelos 2,Cartões vermelhos 1,Cartões vermelhos 2,Gols 1,Gols 2,Posse 1(%),Posse 2(%),Position 1,Position 2
5.0,2.0,0.0,0.0,6.0,8.0,4.0,4.0,10.0,27.0,0.0,3.0,0.0,0.0,1.0,2.0,39.0,61.0,4-4-1-1,4-3-3
4.0,1.0,0.0,1.0,12.0,1.0,9.0,2.0,16.0,11.0,3.0,3.0,0.0,1.0,2.0,1.0,74.0,26.0,4-2-3-1,3-5-2
0.0,7.0,3.0,2.0,4.0,8.0,4.0,7.0,14.0,12.0,1.0,1.0,0.0,0.0,0.0,2.0,27.0,73.0,4-3-3,4-3-3
5.0,5.0,3.0,4.0,5.0,3.0,5.0,9.0,5.0,14.0,1.0,1.0,0.0,0.0,2.0,3.0,56.0,44.0,4-3-3,3-4-2-1
2.0,4.0,1.0,0.0,12.0,2.0,8.0,5.0,6.0,13.0,2.0,3.0,0.0,0.0,0.0,3.0,65.0,35.0,3-4-1-2,4-2-3-1
3.0,7.0,3.0,0.0,3.0,8.0,4.0,4.0,13.0,10.0,4.0,3.0,0.0,0.0,2.0,1.0,33.0,67.0,4-3-3,4-3-3
5.0,3.0,1.0,4.0,5.0,3.0,8.0,3.0,12.0,15.0,2.0,5.0,0.0,0.0,1.0,1.0,72.0,28.0,3-4-3,4-3-3
5.0,0.0,2.0,0.0,7.0,3.0,10.0,2.0,6.0,10.0,1.0,5.0,0.0,0.0,2.0,0.0,79.0,21.0,4-3-3,3-4-3
1.0,3.0,1.0,1.0,4.0,4.0,4.0,9.0,6.0,13.0,1.0,4.0,1.0,0.0,1.0,1.0,33.0,67.0,4-2-3-1,4-5-1
4.0,10.0,0.0,1.0,4.0,8.0,1.0,6.0,13.0,14.0,2.0,2.0,0.0,0.0,2.0,2.0,38.0,62.0,4-3-3,4-4-2
4.0,8.0,2.0,4.0,4.0,8.0,2.0,5.0,15.0,9.0,2.0,1.0,0.0,0.0,1.0,3.0,41.0,59.0,4-5-1,4-3-3
4.0,3.0,5.0,0.0,14.0,2.0,4.0,2.0,12.0,14.0,1.0,4.0,0.0,0.0,2.0,2.0,63.0,37.0,4-3-3,5-4-1
3.0,7.0,2.0,0.0,6.0,6.0,3.0,4.0,11.0,13.0,2.0,2.0,0.0,0.0,0.0,5.0,49.0,51.0,4-4-2,4-2-3-1
4.0,4.0,1.0,4.0,6.0,6.0,4.0,10.0,11.0,12.0,4.0,2.0,0.0,0.0,1.0,1.0,30.0,70.0,3-5-2,3-4-3
7.0,2.0,2.0,1.0,8.0,3.0,5.0,3.0,7.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,63.0,37.0,4-3-3,3-4-2-1
5.0,4.0,5.0,4.0,6.0,3.0,3.0,2.0,10.0,11.0,2.0,1.0,0.0,2.0,1.0,0.0,41.0,59.0,4-4-1-1,3-5-2
2.0,3.0,2.0,5.0,1.0,4.0,3.0,6.0,13.0,16.0,4.0,3.0,0.0,0.0,0.0,0.0,46.0,54.0,3-4-2-1,3-4-1-2
4.0,7.0,3.0,1.0,2.0,13.0,1.0,9.0,16.0,10.0,5.0,2.0,0.0,0.0,2.0,4.0,19.0,81.0,5-4-1,4-1-4-1
4.0,3.0,4.0,4.0,4.0,5.0,3.0,6.0,6.0,11.0,3.0,3.0,0.0,0.0,1.0,0.0,41.0,59.0,4-3-3,4-4-1-1
7.0,4.0,3.0,1.0,9.0,4.0,9.0,2.0,15.0,18.0,1.0,1.0,0.0,0.0,2.0,0.0,46.0,54.0,4-3-3,3-4-2-1
2.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,7.0,13.0,1.0,2.0,1.0,0.0,1.0,0.0,38.0,62.0,4-5-1,3-4-1-2
4.0,5.0,1.0,2.0,7.0,3.0,5.0,3.0,13.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,55.0,45.0,3-4-1-2,3-4-2-1
3.0,1.0,3.0,2.0,5.0,2.0,5.0,3.0,13.0,17.0,0.0,2.0,0.0,0.0,1.0,0.0,59.0,41.0,3-4-1-2,4-2-3-1
2.0,8.0,3.0,1.0,4.0,7.0,3.0,6.0,13.0,9.0,3.0,2.0,0.0,0.0,1.0,2.0,25.0,75.0,4-2-3-1,4-3-3
8.0,1.0,3.0,1.0,7.0,3.0,11.0,2.0,7.0,11.0,1.0,3.0,0.0,0.0,2.0,0.0,70.0,30.0,4-3-3,3-4-2-1
5.0,4.0,1.0,1.0,5.0,2.0,4.0,3.0,11.0,12.0,2.0,2.0,0.0,0.0,1.0,1.0,53.0,47.0,4-4-1-1,4-4-1-1
0.0,4.0,1.0,4.0,1.0,11.0,2.0,11.0,10.0,11.0,3.0,1.0,0.0,0.0,1.0,2.0,37.0,63.0,3-4-2-1,3-4-1-2
2.0,2.0,3.0,1.0,3.0,5.0,10.0,1.0,18.0,17.0,3.0,2.0,0.0,0.0,1.0,0.0,42.0,58.0,4-3-3,4-1-4-1
6.0,0.0,1.0,4.0,4.0,1.0,2.0,2.0,10.0,17.0,0.0,1.0,0.0,0.0,2.0,0.0,74.0,26.0,4-3-3,3-4-2-1
11.0,7.0,4.0,3.0,13.0,3.0,6.0,1.0,11.0,16.0,5.0,4.0,0.0,0.0,0.0,0.0,57.0,43.0,3-4-1-2,4-2-3-1
5.0,2.0,3.0,1.0,13.0,6.0,9.0,4.0,12.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,69.0,31.0,4-3-3,4-2-3-1
5.0,5.0,1.0,4.0,8.0,0.0,8.0,3.0,8.0,14.0,2.0,3.0,0.0,0.0,1.0,1.0,60.0,40.0,3-4-1-2,4-3-3
11.0,6.0,0.0,2.0,6.0,9.0,5.0,3.0,13.0,7.0,0.0,1.0,0.0,0.0,4.0,1.0,50.0,50.0,4-2-3-1,3-4-2-1
14.0,2.0,0.0,0.0,11.0,4.0,7.0,2.0,9.0,10.0,1.0,3.0,0.0,0.0,3.0,0.0,73.0,27.0,4-3-3,4-2-3-1
2.0,10.0,1.0,7.0,1.0,12.0,1.0,9.0,9.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,29.0,71.0,4-5-1,4-3-3
6.0,4.0,6.0,1.0,2.0,3.0,6.0,6.0,12.0,13.0,3.0,4.0,0.0,0.0,0.0,1.0,48.0,52.0,4-3-2-1,3-4-3
3.0,4.0,3.0,1.0,4.0,6.0,2.0,10.0,10.0,12.0,3.0,2.0,0.0,0.0,1.0,2.0,59.0,41.0,3-4-2-1,4-2-3-1
3.0,2.0,0.0,3.0,3.0,1.0,9.0,3.0,13.0,15.0,3.0,3.0,0.0,0.0,0.0,1.0,60.0,40.0,4-4-1-1,4-3-3
3.0,4.0,3.0,2.0,4.0,5.0,2.0,0.0,10.0,19.0,4.0,4.0,0.0,0.0,1.0,1.0,55.0,45.0,3-4-2-1,4-2-3-1
1.0,1.0,4.0,3.0,3.0,9.0,1.0,7.0,23.0,10.0,4.0,2.0,0.0,0.0,0.0,1.0,37.0,63.0,4-4-2,3-4-3
5.0,1.0,4.0,0.0,6.0,2.0,7.0,1.0,9.0,10.0,1.0,3.0,0.0,0.0,1.0,0.0,68.0,32.0,4-3-3,3-5-2
3.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,15.0,13.0,2.0,2.0,0.0,0.0,1.0,0.0,48.0,52.0,3-4-1-2,4-2-3-1
2.0,8.0,0.0,2.0,3.0,16.0,2.0,10.0,8.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,83.0,5-4-1,4-1-4-1
3.0,2.0,1.0,1.0,9.0,2.0,7.0,0.0,8.0,19.0,0.0,3.0,0.0,0.0,2.0,1.0,73.0,27.0,4-3-3,3-5-2
3.0,5.0,2.0,2.0,6.0,6.0,2.0,5.0,5.0,9.0,2.0,2.0,0.0,0.0,1.0,3.0,35.0,65.0,5-3-2,3-4-1-2
7.0,0.0,3.0,2.0,7.0,1.0,12.0,0.0,14.0,5.0,1.0,2.0,0.0,0.0,2.0,0.0,77.0,23.0,4-3-3,5-4-1
5.0,4.0,2.0,6.0,5.0,1.0,2.0,1.0,13.0,15.0,0.0,3.0,0.0,0.0,2.0,1.0,43.0,57.0,4-3-3,3-1-4-2
5.0,0.0,2.0,2.0,8.0,1.0,10.0,2.0,14.0,9.0,1.0,2.0,0.0,0.0,2.0,0.0,47.0,53.0,4-3-3,3-4-1-2
2.0,3.0,2.0,1.0,5.0,6.0,2.0,7.0,14.0,9.0,1.0,2.0,1.0,0.0,3.0,1.0,43.0,57.0,4-2-3-1,4-3-3
3.0,4.0,1.0,1.0,6.0,4.0,9.0,0.0,7.0,21.0,4.0,4.0,0.0,0.0,1.0,1.0,58.0,42.0,4-4-1-1,4-3-3
4.0,3.0,0.0,3.0,8.0,8.0,5.0,5.0,17.0,10.0,3.0,1.0,0.0,0.0,1.0,2.0,64.0,36.0,4-4-1-1,3-5-1-1
5.0,4.0,1.0,1.0,4.0,9.0,4.0,3.0,10.0,12.0,3.0,3.0,0.0,0.0,2.0,0.0,50.0,50.0,4-3-3,4-3-3
8.0,6.0,0.0,4.0,4.0,2.0,2.0,5.0,9.0,11.0,2.0,3.0,0.0,0.0,2.0,0.0,58.0,42.0,3-4-3,3-5-2
5.0,5.0,0.0,0.0,5.0,10.0,3.0,3.0,12.0,17.0,1.0,3.0,0.0,0.0,0.0,0.0,47.0,53.0,4-2-3-1,4-3-2-1
5.0,5.0,0.0,0.0,4.0,5.0,7.0,8.0,4.0,9.0,1.0,2.0,0.0,0.0,1.0,0.0,63.0,37.0,4-2-3-1,4-2-3-1
6.0,5.0,0.0,0.0,9.0,6.0,5.0,2.0,11.0,11.0,0.0,3.0,0.0,0.0,3.0,0.0,56.0,44.0,4-4-1-1,4-4-2
11.0,0.0,0.0,0.0,4.0,0.0,7.0,2.0,10.0,10.0,0.0,3.0,0.0,0.0,7.0,0.0,76.0,24.0,4-2-3-1,5-3-2
3.0,10.0,0.0,0.0,2.0,7.0,2.0,3.0,12.0,20.0,2.0,2.0,0.0,0.0,1.0,2.0,37.0,63.0,4-3-3,4-3-2-1
3.0,5.0,0.0,0.0,5.0,5.0,4.0,6.0,14.0,8.0,5.0,0.0,0.0,0.0,2.0,5.0,51.0,49.0,4-3-3,4-2-3-1
4.0,8.0,0.0,0.0,3.0,5.0,1.0,2.0,13.0,18.0,1.0,3.0,0.0,0.0,2.0,2.0,45.0,55.0,4-4-2,4-2-3-1
3.0,6.0,0.0,0.0,1.0,17.0,1.0,6.0,16.0,9.0,1.0,1.0,1.0,0.0,2.0,0.0,38.0,62.0,4-2-3-1,4-4-2
2.0,3.0,0.0,0.0,8.0,6.0,2.0,10.0,14.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,50.0,50.0,4-4-2,4-4-1-1
4.0,4.0,0.0,0.0,3.0,9.0,3.0,7.0,15.0,14.0,1.0,2.0,0.0,0.0,1.0,0.0,38.0,62.0,4-2-3-1,4-1-4-1
19.0,4.0,0.0,0.0,14.0,2.0,6.0,2.0,8.0,13.0,2.0,4.0,0.0,0.0,6.0,1.0,64.0,36.0,4-3-3,4-2-3-1
1.0,7.0,0.0,0.0,2.0,11.0,2.0,13.0,11.0,17.0,0.0,1.0,1.0,0.0,1.0,3.0,41.0,59.0,4-4-2,3-5-2
2.0,6.0,0.0,0.0,6.0,5.0,4.0,8.0,8.0,8.0,1.0,1.0,0.0,0.0,1.0,4.0,46.0,54.0,4-4-1-1,4-3-3
3.0,5.0,0.0,0.0,5.0,5.0,6.0,13.0,17.0,12.0,1.0,0.0,0.0,0.0,2.0,2.0,46.0,54.0,4-4-2,4-5-1
1.0,4.0,0.0,0.0,2.0,4.0,6.0,4.0,10.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,53.0,47.0,4-3-3,4-3-3
2.0,7.0,0.0,0.0,3.0,6.0,5.0,8.0,9.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,60.0,40.0,4-2-3-1,4-3-3
5.0,3.0,0.0,0.0,7.0,3.0,4.0,2.0,13.0,13.0,1.0,3.0,0.0,0.0,3.0,1.0,61.0,39.0,4-2-3-1,4-3-3
9.0,5.0,0.0,0.0,6.0,3.0,6.0,2.0,10.0,10.0,3.0,2.0,0.0,0.0,3.0,0.0,44.0,56.0,4-4-2,4-4-1-1
11.0,7.0,0.0,0.0,6.0,2.0,6.0,2.0,17.0,17.0,2.0,1.0,0.0,0.0,3.0,0.0,51.0,49.0,4-2-3-1,4-4-1-1
3.0,5.0,0.0,0.0,4.0,2.0,6.0,4.0,12.0,18.0,1.0,3.0,0.0,0.0,2.0,1.0,45.0,55.0,4-2-3-1,4-2-3-1
3.0,3.0,0.0,0.0,5.0,3.0,7.0,1.0,9.0,9.0,0.0,4.0,0.0,0.0,0.0,1.0,49.0,51.0,4-4-2,4-3-3
3.0,5.0,0.0,0.0,6.0,8.0,6.0,7.0,12.0,14.0,1.0,2.0,0.0,0.0,2.0,2.0,56.0,44.0,4-2-3-1,4-4-2
2.0,6.0,2.0,0.0,8.0,5.0,7.0,7.0,13.0,10.0,1.0,1.0,1.0,0.0,0.0,2.0,60.0,40.0,4-3-3,4-2-3-1
1.0,2.0,0.0,0.0,1.0,4.0,2.0,10.0,19.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,27.0,73.0,5-4-1,4-2-3-1
2.0,3.0,0.0,0.0,6.0,4.0,5.0,5.0,11.0,13.0,0.0,2.0,0.0,0.0,1.0,1.0,54.0,46.0,4-2-3-1,4-4-2
4.0,3.0,0.0,0.0,3.0,2.0,8.0,4.0,13.0,17.0,0.0,1.0,0.0,0.0,2.0,0.0,51.0,49.0,4-3-3,4-4-1-1
5.0,2.0,0.0,0.0,5.0,1.0,6.0,4.0,13.0,12.0,2.0,1.0,0.0,0.0,2.0,1.0,51.0,49.0,4-4-2,4-5-1
10.0,2.0,0.0,0.0,9.0,2.0,13.0,4.0,15.0,12.0,0.0,2.0,0.0,0.0,3.0,1.0,61.0,39.0,4-3-3,4-5-1
3.0,7.0,0.0,0.0,1.0,4.0,5.0,3.0,18.0,17.0,3.0,3.0,0.0,0.0,2.0,3.0,59.0,41.0,4-4-2,4-3-3
2.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,8.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,56.0,44.0,4-2-3-1,4-4-2
2.0,1.0,0.0,0.0,8.0,6.0,6.0,1.0,12.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,55.0,45.0,4-2-3-1,4-4-2
6.0,4.0,0.0,0.0,6.0,4.0,6.0,3.0,12.0,14.0,2.0,2.0,0.0,0.0,1.0,2.0,51.0,49.0,4-3-3,4-4-2
2.0,9.0,0.0,0.0,2.0,7.0,1.0,5.0,14.0,7.0,1.0,0.0,0.0,0.0,0.0,4.0,41.0,59.0,4-4-2,4-2-3-1
11.0,3.0,0.0,0.0,5.0,4.0,7.0,0.0,9.0,8.0,1.0,1.0,0.0,0.0,3.0,1.0,66.0,34.0,4-2-3-1,4-4-2
4.0,3.0,0.0,0.0,7.0,7.0,8.0,4.0,14.0,7.0,1.0,1.0,0.0,0.0,1.0,2.0,52.0,48.0,4-2-3-1,3-4-2-1
2.0,7.0,1.0,4.0,1.0,4.0,1.0,13.0,13.0,14.0,3.0,5.0,0.0,0.0,1.0,1.0,53.0,47.0,4-2-3-1,4-2-3-1
